Geographic Location,2010,2015,2020
..NATIONAL CAPITAL REGION (NCR),11855975,12877253,13484462
..CORDILLERA ADMINISTRATIVE REGION (CAR),1616867,1722006,1797660
..REGION I (ILOCOS REGION),4748372,5026128,5301139
..REGION II (CAGAYAN VALLEY),3229163,3451410,3685744
..REGION III (CENTRAL LUZON),10137737,11218177,12422172
..REGION IV-A (CALABARZON),12609803,14414774,16195042
..MIMAROPA REGION,2744671,2963360,3228558
..REGION V (BICOL REGION),5420411,5796989,6082165
..REGION VI (WESTERN VISAYAS),4194579,4477247,7954723
..REGION VII (CENTRAL VISAYAS),5513514,6041903,8081988
..REGION VIII (EASTERN VISAYAS),4101322,4440150,4547150
..REGION IX (ZAMBOANGA PENINSULA),3407353,3629783,3875576
..REGION X (NORTHERN MINDANAO),4297323,4689302,5022768
..REGION XI (DAVAO REGION),4468563,4893318,5243536
..REGION XII (SOCCSKSARGEN),4109571,4545276,4901486
..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),3256140,3781387,4404288
..REGION XIII (CARAGA),2429224,2596709,2804788
