Geolocation,Commodity Description,2012 Ave,2013 Ave,2014 Ave,2015 Ave,2016 Ave,2017 Ave,2018 Ave,2019 Ave,2020 Ave,2021 Ave
..National Capital Region (NCR),ALL ITEMS,100,101.6,104.5,104.4,105.1,109,115,118,120.6,124.8
..Cordillera Administrative Region (CAR),ALL ITEMS,100,102.9,106.9,108,109.8,111.8,116,118.5,121.5,127
..Region I (Ilocos Region),ALL ITEMS,100,101.9,105.9,106.6,107.4,109.6,116.2,119,122.3,127.6
..Region II (Cagayan Valley),ALL ITEMS,100,103.2,107.3,107.9,109.7,112.4,118.6,121.1,125,133
..Region III (Central Luzon),ALL ITEMS,100,102.8,106.4,106.6,108.4,111.8,115.4,118.8,122.4,128.3
..Region IV-A (CALABARZON),ALL ITEMS,100,102.3,105.7,105.9,106.9,110,115.3,118.3,121.6,128
..Region IV-B (MIMAROPA),ALL ITEMS,100,102.2,105.9,107.4,109.5,111.9,117.6,122.2,126.2,132
..Region V (Bicol Region),ALL ITEMS,100,103,107.4,107.8,108.9,110.3,118,121.3,126.4,134.8
..Region VI (Western Visayas),ALL ITEMS,100,103.2,107.4,109.1,110.2,112.2,118.8,121.7,125.5,131.2
..Region VII (Central Visayas),ALL ITEMS,100,104.2,109.1,110.4,112.4,115.2,121.7,123.6,126,129.2
..Region VIII (Eastern Visayas),ALL ITEMS,100,104.1,110.8,111.6,112.8,116.6,123.1,124.9,127.2,131.3
..Region IX (Zamboanga Peninsula),ALL ITEMS,100,103.6,108.1,110,112.3,115.7,122.9,124.1,127.1,131.8
..Region X (Northern Mindanao),ALL ITEMS,100,104.1,107.7,109.6,112.1,115.5,121.6,125.1,127.7,132.6
..Region XI (Davao Region),ALL ITEMS,100,102.4,104.7,106.8,108.4,111.8,118.1,121,123.1,128.8
..Region XII (SOCCSKSARGEN),ALL ITEMS,100,102.9,107.7,108.8,111.4,113.6,120.6,124,127.9,134.4
..Region XIII (Caraga),ALL ITEMS,100,102.4,106.6,109.3,110.7,112.8,117.5,119.6,122.9,127.9
..Bansamoro Autonomous Region in Muslim Mindanao (ARMM),ALL ITEMS,100,103.6,107.8,109.9,111.9,115.7,123.9,127.1,130.2,133.7
